"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.092219600E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.592219600E-2,3.042852879E-2,-2.315187454E-2,5.768346786E-2,6.920467559E-2
2.092219600E-2,8.789753914E-2,-5.061721802E-2,4.276371002E-2,1.100764055E-1
2.592219600E-2,1.323732138E-1,-7.480049133E-2,3.719329834E-4,1.520457811E-1
3.092219600E-2,1.608712673E-1,-8.995342255E-2,-3.189420700E-2,1.870519268E-1
3.592219600E-2,1.582512856E-1,-1.187820435E-1,-9.264278412E-2,2.184841612E-1
4.092219600E-2,1.470421553E-1,-1.514811516E-1,-2.151160240E-1,3.014014574E-1
4.592219600E-2,1.553342342E-1,-1.486558914E-1,-3.570437431E-1,4.167823567E-1
5.092219600E-2,1.432616711E-1,-1.336288452E-1,-5.201373100E-1,5.558087764E-1
5.592219600E-2,9.940338135E-2,-9.505987167E-2,-6.241297722E-1,6.391051431E-1
6.092219600E-2,3.368866444E-2,-3.120994568E-2,-6.858830452E-1,6.874187505E-1
6.592219600E-2,5.054473877E-5,3.725910187E-2,-6.410536766E-1,6.421355461E-1
7.092219600E-2,-4.933440685E-2,7.348966599E-2,-6.032028198E-1,6.096624120E-1
7.592219600E-2,-1.466025114E-1,1.180610657E-1,-5.061407089E-1,5.400084525E-1
8.092219600E-2,-2.261112928E-1,1.845831871E-1,-3.269600868E-1,4.382923318E-1
8.592219600E-2,-2.455406189E-1,2.823805809E-1,-1.775727272E-1,4.141993016E-1
9.092219600E-2,-1.841962337E-1,3.642463684E-1,-1.097502708E-1,4.226686544E-1
9.592219600E-2,-1.191978455E-1,3.864545822E-1,-9.763860703E-2,4.160391425E-1
1.009221960E-1,-6.238508224E-2,3.532180786E-1,-8.537673950E-2,3.687059766E-1
1.059221960E-1,-1.979625225E-2,3.266658783E-1,-1.238317490E-1,3.499096879E-1
1.109221960E-1,1.985847950E-2,2.932834625E-1,-1.773366928E-1,3.433043128E-1
1.159221960E-1,5.504918098E-2,2.728128433E-1,-2.038712502E-1,3.449938354E-1
1.209221960E-1,4.259705544E-2,2.830495834E-1,-2.178645134E-1,3.597172807E-1
1.259221960E-1,3.501307964E-2,2.879667282E-1,-2.229666710E-1,3.658755098E-1
1.309221960E-1,7.559895515E-3,3.005304337E-1,-2.738032341E-1,4.066250172E-1
1.359221960E-1,-1.387155056E-2,2.921638489E-1,-3.718967438E-1,4.731377416E-1
1.409221960E-1,-2.847576141E-2,2.787327766E-1,-4.347176552E-1,5.171868806E-1
1.459221960E-1,-4.093635082E-2,2.360572815E-1,-4.110097885E-1,4.757392891E-1
1.509221960E-1,-1.494836807E-2,1.867165565E-1,-3.806047440E-1,4.242010105E-1
1.559221960E-1,1.824975014E-2,1.660003662E-1,-3.472218513E-1,3.852949377E-1
1.609221960E-1,4.375803471E-2,1.992025375E-1,-3.445882797E-1,4.004216516E-1
1.659221960E-1,7.147538662E-2,1.611447334E-1,-2.817354202E-1,3.323419971E-1
1.709221960E-1,1.173704863E-1,1.013703346E-1,-1.490130424E-1,2.150736214E-1
1.759221960E-1,1.835326552E-1,8.613586426E-2,-8.963346481E-2,2.216704325E-1
1.809221960E-1,2.263384461E-1,1.000614166E-1,-1.925048828E-1,3.135275254E-1
1.859221960E-1,2.285465598E-1,1.316709518E-1,-2.767462730E-1,3.823078200E-1
1.909221960E-1,1.889210343E-1,2.193641663E-1,-2.350869179E-1,3.729311647E-1
1.959221960E-1,1.308308244E-1,3.289322853E-1,-1.364874840E-1,3.793968716E-1
2.009221960E-1,4.760903120E-2,4.410610199E-1,-3.391647339E-2,4.449177118E-1
2.059221960E-1,-2.304303646E-2,4.947605133E-1,8.615970612E-3,4.953717614E-1
2.109221960E-1,-8.488547802E-2,4.910287857E-1,-5.354881287E-4,4.983122510E-1
2.159221960E-1,-1.304736733E-1,4.811773300E-1,-7.628011703E-2,5.043546952E-1
2.209221960E-1,-1.437314749E-1,4.486899376E-1,-2.114343643E-1,5.164163895E-1
2.259221960E-1,-4.436790943E-2,4.146838188E-1,-2.789049149E-1,5.017161872E-1
2.309221960E-1,6.034523249E-2,3.464293480E-1,-3.750028610E-1,5.140836372E-1
2.359221960E-1,1.466678381E-1,2.597923279E-1,-5.186686516E-1,5.983482920E-1
2.409221960E-1,2.435510755E-1,1.650719643E-1,-6.079602242E-1,6.754121067E-1
2.459221960E-1,3.313855827E-1,8.187007904E-2,-5.661382675E-1,6.610836953E-1
2.509221960E-1,4.139220119E-1,2.554130554E-2,-4.321818352E-1,5.989698898E-1
2.559221960E-1,5.056559443E-1,-6.263923645E-2,-3.109221458E-1,5.968954588E-1
2.609221960E-1,5.858773589E-1,-1.748447418E-1,-2.274136543E-1,6.523342192E-1
2.659221960E-1,6.558797956E-1,-3.079767227E-1,-2.367901802E-1,7.622975517E-1
2.709221960E-1,7.317788005E-1,-4.358205795E-1,-2.775845528E-1,8.958197220E-1
