"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.741477000E-3,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.274147700E-2,1.396608353E-2,6.992053986E-2,6.998920441E-2,9.991207192E-2
1.774147700E-2,-5.553698540E-2,1.595377922E-1,6.388235092E-2,1.806034846E-1
2.274147700E-2,-2.084155083E-1,2.331986427E-1,5.420017242E-2,3.174213127E-1
2.774147700E-2,-3.649756908E-1,2.957062721E-1,2.510929108E-2,4.704040080E-1
3.274147700E-2,-4.941248894E-1,3.283348083E-1,-5.921363831E-3,5.932943748E-1
3.774147700E-2,-5.576772690E-1,3.145222664E-1,-1.653046608E-1,6.612517095E-1
4.274147700E-2,-5.998589993E-1,2.975602150E-1,-3.654961586E-1,7.628632528E-1
4.774147700E-2,-6.784787178E-1,3.009200096E-1,-3.998842239E-1,8.430857698E-1
5.274147700E-2,-7.733969688E-1,3.157248497E-1,-2.985424995E-1,8.871035318E-1
5.774147700E-2,-8.189878464E-1,3.257589340E-1,-2.031259537E-1,9.044999329E-1
6.274147700E-2,-7.981188297E-1,3.586707115E-1,-1.359910965E-1,8.855122382E-1
6.774147700E-2,-7.064461708E-1,3.891768456E-1,-1.605734825E-1,8.223798713E-1
7.274147700E-2,-5.919280052E-1,3.958773613E-1,-1.843748093E-1,7.355893684E-1
7.774147700E-2,-4.621264935E-1,3.732066154E-1,-1.582779884E-1,6.147324584E-1
8.274147700E-2,-2.710158825E-1,4.007315636E-1,-2.004528046E-1,5.236570647E-1
8.774147700E-2,-8.253431320E-2,3.783693314E-1,-3.039851189E-1,4.923232843E-1
9.274147700E-2,5.398750305E-3,3.097810745E-1,-2.885551453E-1,4.233881582E-1
9.774147700E-2,6.867671013E-2,2.142691612E-1,-1.278109550E-1,2.587728815E-1
1.027414770E-1,1.883993149E-1,1.067337990E-1,4.743194580E-2,2.216668563E-1
1.077414770E-1,3.407738209E-1,9.695529938E-3,1.357545853E-1,3.669470094E-1
1.127414770E-1,4.459786415E-1,-9.297466278E-2,1.706261635E-1,4.864715041E-1
1.177414770E-1,5.053217411E-1,-1.771736145E-1,1.825141907E-1,5.657313687E-1
1.227414770E-1,5.211623907E-1,-2.395076752E-1,1.531229019E-1,5.936503913E-1
1.277414770E-1,4.744108915E-1,-2.446765900E-1,8.542156219E-2,5.405822518E-1
1.327414770E-1,4.564363956E-1,-2.564935684E-1,8.879661560E-3,5.236429913E-1
1.377414770E-1,4.712505341E-1,-2.827973366E-1,-6.282043457E-2,5.531706847E-1
1.427414770E-1,4.704074860E-1,-3.236160278E-1,-4.020500183E-2,5.723870880E-1
1.477414770E-1,4.429529905E-1,-3.889579773E-1,5.129814148E-2,5.917154377E-1
1.527414770E-1,4.246585369E-1,-4.264364243E-1,1.846399307E-1,6.295036147E-1
1.577414770E-1,4.345985651E-1,-4.023990631E-1,3.236379623E-1,6.749388487E-1
1.627414770E-1,4.161081314E-1,-3.464045525E-1,4.038152695E-1,6.754323525E-1
1.677414770E-1,4.068002701E-1,-2.290501595E-1,4.344015121E-1,6.376951537E-1
1.727414770E-1,4.365320206E-1,-7.733249664E-2,3.695201874E-1,5.771357630E-1
1.777414770E-1,4.805265665E-1,5.262374878E-2,2.829027176E-1,5.600973020E-1
1.827414770E-1,4.478170872E-1,1.259727478E-1,2.788963318E-1,5.423950964E-1
1.877414770E-1,3.833960295E-1,1.237540245E-1,2.634124756E-1,4.813457243E-1
1.927414770E-1,3.802411556E-1,7.254600525E-2,2.751903534E-1,4.749484076E-1
1.977414770E-1,3.962236047E-1,-7.453680038E-2,2.058591843E-1,4.526885058E-1
2.027414770E-1,3.453722000E-1,-3.210697174E-1,1.460733414E-1,4.936650089E-1
2.077414770E-1,2.690140605E-1,-5.215215683E-1,1.167154312E-1,5.983107912E-1
2.127414770E-1,2.166077495E-1,-6.947498322E-1,1.239795685E-1,7.382189240E-1
2.177414770E-1,1.703286767E-1,-7.896671295E-1,2.105102539E-1,8.348057262E-1
2.227414770E-1,1.613212228E-1,-7.625565529E-1,2.868385315E-1,8.305380042E-1
2.277414770E-1,2.491938472E-1,-7.063984871E-1,1.887474060E-1,7.724778180E-1
2.327414770E-1,4.053272605E-1,-5.913252831E-1,-9.350967407E-2,7.229798321E-1
2.377414770E-1,6.313464642E-1,-5.438413620E-1,-4.456338882E-1,9.449610294E-1
2.427414770E-1,8.676406741E-1,-5.688533783E-1,-7.971339226E-1,1.308364244E0
2.477414770E-1,1.028331399E0,-6.891794205E-1,-1.082514763E0,1.644467072E0
2.527414770E-1,1.124376297E0,-8.700404167E-1,-1.316951752E0,1.937925257E0
2.577414770E-1,1.247788429E0,-1.088832378E0,-1.509646416E0,2.240884694E0
2.627414770E-1,1.455491543E0,-1.316410542E0,-1.662736893E0,2.572175406E0
2.677414770E-1,1.680577993E0,-1.479652166E0,-1.703340054E0,2.813375244E0
2.727414770E-1,1.912435293E0,-1.546050072E0,-1.670565605E0,2.972956276E0
2.777414770E-1,1.970096111E0,-1.540417194E0,-1.619775772E0,2.979569998E0
2.827414770E-1,1.932795644E0,-1.434382915E0,-1.498033047E0,2.835005531E0
2.877414770E-1,1.818328142E0,-1.361422300E0,-1.520158768E0,2.733252749E0
2.927414770E-1,1.725041866E0,-1.276786804E0,-1.492484093E0,2.614089278E0
2.977414770E-1,1.642690420E0,-1.210926294E0,-1.521614552E0,2.545601137E0
3.027414770E-1,1.513757348E0,-1.167504072E0,-1.528988361E0,2.447924116E0
3.077414770E-1,1.310436845E0,-1.148476362E0,-1.415847778E0,2.245187656E0
3.127414770E-1,1.130456090E0,-1.165000439E0,-1.353209496E0,2.113370042E0
3.177414770E-1,9.857958555E-1,-1.110151529E0,-1.421080112E0,2.055163880E0
3.227414770E-1,8.208643794E-1,-1.000458241E0,-1.462779045E0,1.953063633E0
3.277414770E-1,6.416148543E-1,-9.151182175E-1,-1.516227245E0,1.883628422E0
3.327414770E-1,5.018559694E-1,-8.971188068E-1,-1.481968403E0,1.803583077E0
3.377414770E-1,4.608741403E-1,-9.445309639E-1,-1.369553566E0,1.726331569E0
3.427414770E-1,3.871198297E-1,-1.009959698E0,-1.188354492E0,1.606881064E0
3.477414770E-1,2.318479121E-1,-9.156491756E-1,-1.020315170E0,1.390399192E0
3.527414770E-1,1.485553831E-1,-7.817885876E-1,-9.082255363E-1,1.207532907E0
3.577414770E-1,7.025768608E-2,-6.568250656E-1,-8.472046852E-1,1.074295624E0
3.627414770E-1,-3.624036908E-2,-5.597045422E-1,-6.836061478E-1,8.842510414E-1
3.677414770E-1,-1.513891071E-1,-5.254285336E-1,-4.872970581E-1,7.324289921E-1
3.727414770E-1,-2.334145159E-1,-5.425064564E-1,-3.586158752E-1,6.909420652E-1
3.777414770E-1,-3.300030828E-1,-5.571804047E-1,-2.825527191E-1,7.065324317E-1
3.827414770E-1,-4.314233661E-1,-4.599816799E-1,-2.580270767E-1,6.813862627E-1
3.877414770E-1,-5.339931846E-1,-3.278422356E-1,-3.272132874E-1,7.068930527E-1
3.927414770E-1,-6.034153700E-1,-2.133409977E-1,-3.756046295E-1,7.420938807E-1
3.977414770E-1,-6.796587110E-1,-1.581246853E-1,-4.646968842E-1,8.383809239E-1
4.027414770E-1,-7.298266888E-1,-2.397987843E-1,-5.257015228E-1,9.308665552E-1
