"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.041557900E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
1.541557900E-2,2.936697006E-2,5.202998966E-2,-2.019023895E-2,6.306492293E-2
2.041557900E-2,1.263208389E-1,5.653739348E-2,-8.918762207E-3,1.386830037E-1
2.541557900E-2,1.960597038E-1,6.165564805E-2,1.499843597E-2,2.060722676E-1
3.041557900E-2,2.263755798E-1,9.373979270E-2,6.628227234E-2,2.538235440E-1
3.541557900E-2,2.016224861E-1,1.010266840E-1,1.443347931E-1,2.677509109E-1
4.041557900E-2,1.357989311E-1,5.403467268E-2,2.542552948E-1,2.932692457E-1
4.541557900E-2,7.206916809E-2,-2.807515860E-2,3.599538803E-1,3.681697645E-1
5.041557900E-2,4.093694687E-2,-1.131506413E-1,4.567375183E-1,4.723219896E-1
5.541557900E-2,5.411529541E-2,-1.999630630E-1,5.591964722E-1,5.963341230E-1
6.041557900E-2,7.346248627E-2,-2.555263042E-1,6.887264252E-1,7.382645310E-1
6.541557900E-2,-8.843660355E-2,-9.563793987E-2,8.165025711E-1,8.268277312E-1
7.041557900E-2,-1.335558891E-1,-7.285740972E-2,8.276720047E-1,8.415380711E-1
7.541557900E-2,-1.853191853E-1,-6.919980049E-2,6.807479858E-1,7.089073515E-1
8.041557900E-2,-2.116703987E-1,-7.926730812E-2,4.545354843E-1,5.076319241E-1
8.541557900E-2,-2.460324764E-1,-8.575797826E-2,2.140512466E-1,3.372007510E-1
9.041557900E-2,-2.518930435E-1,-1.423700005E-1,-1.511764526E-1,3.264561873E-1
9.541557900E-2,-2.808659077E-1,-2.215521485E-1,-4.382295609E-1,5.656997088E-1
1.004155790E-1,-2.694659233E-1,-2.985950112E-1,-6.198358536E-1,7.388960346E-1
1.054155790E-1,-1.942634583E-1,-3.593319356E-1,-7.375364304E-1,8.431000636E-1
1.104155790E-1,-7.844591141E-2,-4.145565033E-1,-7.450580597E-1,8.562256524E-1
1.154155790E-1,6.583929062E-2,-5.016277432E-1,-6.345033646E-1,8.115169281E-1
1.204155790E-1,1.766552925E-1,-5.512149334E-1,-4.465112686E-1,7.310385135E-1
1.254155790E-1,2.228398323E-1,-5.528120995E-1,-2.253303528E-1,6.372068550E-1
1.304155790E-1,1.951026917E-1,-4.760934114E-1,6.172752380E-2,5.182087262E-1
1.354155790E-1,1.364364624E-1,-3.115582466E-1,4.170236588E-1,5.381376973E-1
1.404155790E-1,1.265840530E-1,-1.107264906E-1,6.281404495E-1,6.502647942E-1
1.454155790E-1,9.510421753E-2,6.867599487E-2,6.835231781E-1,6.935165027E-1
1.504155790E-1,4.805850983E-2,2.568747699E-1,6.548557281E-1,7.050746716E-1
1.554155790E-1,7.485389709E-3,3.969697952E-1,5.647296906E-1,6.903337401E-1
1.604155790E-1,-3.648376465E-2,4.765368402E-1,4.678983688E-1,6.688402714E-1
1.654155790E-1,-6.211757660E-2,4.767637253E-1,3.425483704E-1,5.903402655E-1
1.704155790E-1,-1.188151836E-1,4.494359493E-1,2.934274673E-1,5.497357538E-1
1.754155790E-1,-1.731953621E-1,4.341216087E-1,1.818017960E-1,5.015078241E-1
1.804155790E-1,-1.497781277E-1,4.081435204E-1,4.712677002E-2,4.373048744E-1
1.854155790E-1,-1.141939163E-1,3.821339607E-1,-2.510166168E-2,3.996207050E-1
1.904155790E-1,4.748106003E-2,3.132298589E-1,5.563735962E-3,3.168569878E-1
1.954155790E-1,2.005386353E-1,2.211926728E-1,1.799583435E-2,2.991083295E-1
2.004155790E-1,3.659930229E-1,1.741305143E-1,1.015911102E-1,4.178433708E-1
2.054155790E-1,5.435719490E-1,1.941042393E-1,2.649688721E-1,6.351026867E-1
2.104155790E-1,6.867046356E-1,2.705971003E-1,4.442758560E-1,8.614911976E-1
2.154155790E-1,7.686858177E-1,3.184570372E-1,5.792722702E-1,1.013828947E0
2.204155790E-1,8.028497696E-1,3.138592243E-1,6.347799301E-1,1.070523669E0
2.254155790E-1,7.768368721E-1,3.010419011E-1,5.994434357E-1,1.026369419E0
2.304155790E-1,6.818308830E-1,3.513691425E-1,5.068578720E-1,9.193794265E-1
2.354155790E-1,5.332150459E-1,4.154227972E-1,3.658638000E-1,7.686030873E-1
2.404155790E-1,3.458642960E-1,4.985480607E-1,1.841526031E-1,6.341013020E-1
2.454155790E-1,4.314947128E-2,6.340804100E-1,1.444187164E-1,6.517488848E-1
2.504155790E-1,-3.387117386E-1,7.628004551E-1,1.814289093E-1,8.541116000E-1
2.554155790E-1,-5.144979954E-1,5.326547623E-1,-1.661348343E-1,7.589664460E-1
2.604155790E-1,-7.418081760E-1,2.230513692E-1,-3.878927231E-1,8.663094412E-1
2.654155790E-1,-8.897609711E-1,-1.299892068E-1,-4.693536758E-1,1.014329657E0
2.704155790E-1,-9.504516125E-1,-4.771504402E-1,-3.338022232E-1,1.114654536E0
2.754155790E-1,-9.858911037E-1,-8.285721540E-1,-2.975130081E-1,1.321751517E0
2.804155790E-1,-1.004707098E0,-1.215089798E0,-9.526443481E-2,1.579542618E0
